id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_1_001_CA_1_evaluation,0,0.0,20.0,1.0,6.243688700903702
FOODS_1_002_CA_1_evaluation,0,0.0,16.0,1.0,3.7305115206456305
FOODS_1_003_CA_1_evaluation,0,0.0,21.0,1.0,7.22526923820362
FOODS_1_004_CA_1_evaluation,2,7.736365473759847,153.0,0.9494355197793474,30.947725894680108
FOODS_1_005_CA_1_evaluation,0,0.0,53.0,1.0,11.64406380407742
FOODS_1_006_CA_1_evaluation,0,0.0,27.0,1.0,6.963863323115368
FOODS_1_008_CA_1_evaluation,0,0.0,9.0,1.0,3.132201276195821
FOODS_1_009_CA_1_evaluation,1,1.8639133448817375,27.0,0.9309661724117875,3.4283538004500635
FOODS_1_010_CA_1_evaluation,0,0.0,7.0,1.0,2.749702851072383
FOODS_1_011_CA_1_evaluation,2,2.671752795275723,5.0,0.4656494409448554,1.983372404386829
FOODS_1_012_CA_1_evaluation,0,0.0,109.0,1.0,12.623805934232285
FOODS_1_013_CA_1_evaluation,0,0.0,1.0,1.0,3.045350139770813
FOODS_1_014_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_015_CA_1_evaluation,0,0.0,15.0,1.0,4.796158545863201
FOODS_1_016_CA_1_evaluation,0,0.0,26.0,1.0,9.517576366766223
FOODS_1_017_CA_1_evaluation,0,0.0,26.0,1.0,3.5306638914145334
FOODS_1_018_CA_1_evaluation,0,0.0,364.0,1.0,33.49986831322657
FOODS_1_019_CA_1_evaluation,0,0.0,180.0,1.0,31.61935531417339
FOODS_1_020_CA_1_evaluation,1,0.28347180295325103,35.0,0.9919008056299071,5.787396147785064
FOODS_1_021_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_022_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_023_CA_1_evaluation,0,0.0,86.0,1.0,14.300834258132287
FOODS_1_024_CA_1_evaluation,0,0.0,24.0,1.0,7.063624685167281
FOODS_1_025_CA_1_evaluation,2,1.1319317602456351,28.0,0.9595738657055131,3.002731345652877
FOODS_1_026_CA_1_evaluation,0,0.0,13.0,1.0,4.308205642687666
FOODS_1_027_CA_1_evaluation,1,9.471083713288046,47.0,0.7984875805683395,14.260026419329376
FOODS_1_028_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_029_CA_1_evaluation,0,0.0,7.0,1.0,3.4755304117298786
FOODS_1_030_CA_1_evaluation,1,0.9085153674595556,19.0,0.9521834017126549,4.617396993339682
FOODS_1_031_CA_1_evaluation,2,2.762007935013763,41.0,0.9326339528045424,8.53563690588253
FOODS_1_032_CA_1_evaluation,1,31.16235605239646,321.0,0.9029210091825656,68.44966153213122
FOODS_1_033_CA_1_evaluation,0,0.0,0.0,1.0,0.2763326018997469
FOODS_1_034_CA_1_evaluation,0,0.0,4.0,1.0,2.2684190354021627
FOODS_1_035_CA_1_evaluation,1,1.539126704839131,4.0,0.6152183237902172,2.194413534619408
FOODS_1_036_CA_1_evaluation,0,0.0,44.0,1.0,9.077966474342835
